#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
CI|LDR|34.9906|-118.34156|1121.0|Leduc Ranch|2001-10-04T00:00:00|3000-01-01T00:00:00
CI|LEO|34.63064|-118.30505|1025.0|Leona Valley|1981-03-11T00:00:00|3000-01-01T00:00:00
CI|LFP|34.30529|-118.48805|368.0|Los Angeles|2000-01-24T00:00:00|3000-01-01T00:00:00
CI|LGB|33.9753|-118.14918|42.0|Laguna Bell|2000-04-06T00:00:00|3000-01-01T00:00:00
CI|LJR|34.80762|-118.86775|1443.0|Lone Juniper Ranch|2002-11-05T00:00:00|3000-01-01T00:00:00
CI|LKH|33.23598|-116.75876|847.0|Lake Henshaw|2013-10-29T00:00:00|3000-01-01T00:00:00
CI|LLS|33.68447|-117.94304|8.0|Ellis|2000-02-01T00:00:00|3000-01-01T00:00:00
CI|LMH|33.74418|-117.39135|496.0|Lake Mathews Hills|2013-05-21T00:00:00|3000-01-01T00:00:00
CI|LMR2|34.93439|-117.69629|964.0|Leuhmann Ridge Extension|2003-09-25T00:00:00|3000-01-01T00:00:00
CI|LMS|33.81744|-117.445|443.0|Lake Mathews Shore|2013-05-21T00:00:00|3000-01-01T00:00:00
CI|LMY|34.733165|-119.10391|1575.0|Lockwood Valley Maintenance Yard|2013-12-04T00:00:00|3000-01-01T00:00:00
CI|LOC|34.690735|-120.446901|95.0|Lompoc FS #51|2013-12-04T00:00:00|3000-01-01T00:00:00
CI|LPC|34.31478|-117.54642|1351.0|Lone Pine Canyon|2009-05-28T19:00:00|3000-01-01T00:00:00
CI|LRL|35.47954|-117.68212|1340.0|Laurel Mtn|1992-07-29T00:00:00|3000-01-01T00:00:00
